Remainder,Steps,Decision_Tree,Score,Num_Of_Choices_Made
1,10,"['Step1: (3,5,8) (3,5)', 'Step2: (7) (7)', 'Step3: (9) (9)', 'Step4: (12) (12)', 'Step5: (11) (11)', 'Step6: (10) (10)', 'Step7: (4) (4)', 'Step8: (6,2,8) (6,2)', 'Step9: (8) (8)']",9,2
13457891011,4,"['Step1: (2,4,6) (6)', 'Step2: (2) (2)', 'Step3: (12) (12)']",1,1
489101112,5,"['Step1: (1,5,6) (1,5)', 'Step2: (6) (6)', 'Step3: (3,2) (3,2)', 'Step4: (7) (7)']",1,1
156789101112,3,"['Step1: (4) (4)', 'Step2: (3,2,5) (3,2)']",1,1
341011,8,"['Step1: (1,4,5) (5)', 'Step2: (4,3,7) (7)', 'Step3: (2,1,3) (2,1)', 'Step4: (8) (8)', 'Step5: (6) (6)', 'Step6: (12) (12)', 'Step7: (9) (9)']",4,3
14789101112,4,"['Step1: (5,2,7) (5,2)', 'Step2: (6) (6)', 'Step3: (3) (3)']",1,1
24689101112,4,"['Step1: (3,4,7) (7)', 'Step2: (2,3,5) (5)', 'Step3: (1,3,4) (1,3)']",1,3
156811,7,"['Step1: (6,4,10) (10)', 'Step2: (2,3,5) (2,3)', 'Step3: (12) (12)', 'Step4: (7) (7)', 'Step5: (4) (4)', 'Step6: (9) (9)']",4,2
23591112,6,"['Step1: (1,4,5) (1,4)', 'Step2: (6) (6)', 'Step3: (10) (10)', 'Step4: (7) (7)', 'Step5: (8) (8)']",2,1
4689101112,4,"['Step1: (3,1,4) (3,1)', 'Step2: (5,2,7) (5,2)', 'Step3: (7) (7)']",1,2
1234789101112,2,"['Step1: (6,5,11) (6,5)']",1,1
2345891112,4,"['Step1: (5,2,7) (7)', 'Step2: (10) (10)', 'Step3: (6,1) (6,1)']",1,1
1234567891112,2,['Step1: (10) (10)'],1,0
256791112,5,"['Step1: (1,3,4) (4)', 'Step2: (10) (10)', 'Step3: (1,3) (1,3)', 'Step4: (6,2,8) (8)']",1,2
1235791012,4,"['Step1: (5,6,11) (11)', 'Step2: (4,6,10) (4,6)', 'Step3: (5,3,8) (8)']",1,3
