Remainder,Steps,Decision_Tree,Score,Num_Of_Choices_Made
15678101112,3,"['Step1: ((1, 11),(2, 10),(3, 9),(4, 8),(5, 7),12)(3, 9)', 'Step2: ((1, 5),(2, 4),6)(2, 4)']",1,0
9101112,6,"['Step1: ((1, 5),(2, 4),6)(2, 4)', 'Step2: ((1, 5),6)(1, 5)', 'Step3: (8)8', 'Step4: ((3, 7),10)(3, 7)', 'Step5: (6)6']",3,0
367891112,4,"['Step1: ((1, 10),(2, 9),(3, 8),(4, 7),(5, 6),11)(1, 10)', 'Step2: (2)2', 'Step3: ((3, 6),(4, 5),9)(4, 5)']",1,0
57101112,6,"['Step1: ((1, 8),(2, 7),(3, 6),(4, 5),9)(1, 8)', 'Step2: ((2, 3),5)(2, 3)', 'Step3: (6)6', 'Step4: (4)4', 'Step5: (9)9']",2,0
45891112,5,"['Step1: ((1, 3),4)(1, 3)', 'Step2: ((2, 4),6)6', 'Step3: ((2, 7),(4, 5),9)(2, 7)', 'Step4: (10)10']",2,0
1589101112,4,"['Step1: ((1, 8),(2, 7),(3, 6),(4, 5),9)(2, 7)', 'Step2: ((1, 5),6)6', 'Step3: ((3, 4))']",1,0
48101112,5,"['Step1: ((1, 7),(2, 6),(3, 5),8)(3, 5)', 'Step2: ((1, 6),7)7', 'Step3: ((1, 10),(2, 9),11)(2, 9)', 'Step4: ((1, 6))']",2,0
19101112,6,"['Step1: ((1, 4),(2, 3),5)(2, 3)', 'Step2: ((1, 7),8)8', 'Step3: ((1, 4),5)5', 'Step4: ((1, 10),(4, 7),11)(4, 7)', 'Step5: (6)6']",2,0
48101112,5,"['Step1: ((1, 7),(2, 6),(3, 5),8)(2, 6)', 'Step2: (3)3', 'Step3: ((1, 11),(4, 8),(5, 7),12)(5, 7)', 'Step4: ((1, 9),10)(1, 9)']",2,0
367101112,5,"['Step1: ((1, 5),(2, 4),6)(2, 4)', 'Step2: ((1, 7),(3, 5),8)8', 'Step3: ((1, 5),6)(1, 5)', 'Step4: ((3, 6),9)9']",1,0
126789101112,3,"['Step1: ((1, 6),(2, 5),(3, 4),7)(3, 4)', 'Step2: (5)5']",1,0
411,8,"['Step1: ((1, 9),(2, 8),(3, 7),(4, 6),10)(1, 9)', 'Step2: ((2, 5),(3, 4),7)7', 'Step3: ((2, 4),6)6', 'Step4: ((2, 5),(3, 4))(2, 5)', 'Step5: (10)10', 'Step6: ((3, 8),11)(3, 8)', 'Step7: (12)12']",7,0
2891112,6,"['Step1: ((1, 5),(2, 4),6)(1, 5)', 'Step2: (4)4', 'Step3: ((2, 8),(3, 7),10)10', 'Step4: (7)7', 'Step5: ((3, 6),9)(3, 6)']",3,0
3489101112,4,"['Step1: ((1, 6),(2, 5),(3, 4),7)(1, 6)', 'Step2: ((2, 5),(3, 4),7)(2, 5)', 'Step3: ((3, 4),7)7']",1,0
36789101112,4,"['Step1: ((1, 4),(2, 3),5)5', 'Step2: ((1, 3),4)4', 'Step3: ((1, 2),3)(1, 2)']",1,0
1689101112,4,"['Step1: ((1, 6),(2, 5),(3, 4),7)7', 'Step2: ((1, 6),(2, 5),(3, 4))(3, 4)', 'Step3: ((1, 6),(2, 5))(2, 5)']",1,0
248101112,5,"['Step1: ((1, 6),(2, 5),(3, 4),7)(1, 6)', 'Step2: ((2, 8),(3, 7),10)(3, 7)', 'Step3: (5)5', 'Step4: (9)9']",1,0
46101112,6,"['Step1: ((1, 11),(2, 10),(3, 9),(4, 8),(5, 7),12)(5, 7)', 'Step2: ((1, 2),3)(1, 2)', 'Step3: (3)3', 'Step4: (9)9', 'Step5: (8)8']",2,0
3471112,6,"['Step1: ((1, 5),(2, 4),6)(1, 5)', 'Step2: ((2, 10),(3, 9),(4, 8),12)(2, 10)', 'Step3: (8)8', 'Step4: (6)6', 'Step5: (9)9']",3,0
1249101112,5,"['Step1: ((1, 10),(2, 9),(3, 8),(4, 7),(5, 6),11)(3, 8)', 'Step2: ((1, 6),(2, 5),7)7', 'Step3: ((1, 4),5)5', 'Step4: ((2, 4),6)6']",1,0
357101112,4,"['Step1: ((1, 6),(2, 5),(3, 4),7)(1, 6)', 'Step2: ((2, 10),(3, 9),(4, 8),(5, 7),12)(4, 8)', 'Step3: ((2, 9),11)(2, 9)']",1,0
5789101112,4,"['Step1: ((1, 3),4)(1, 3)', 'Step2: (4)4', 'Step3: ((2, 6),8)(2, 6)']",1,0
691012,7,"['Step1: ((1, 7),(2, 6),(3, 5),8)(3, 5)', 'Step2: (2)2', 'Step3: ((1, 7),8)8', 'Step4: ((1, 4))', 'Step5: (11)11', 'Step6: (7)7']",4,0
341112,7,"['Step1: ((1, 7),(2, 6),(3, 5),8)(2, 6)', 'Step2: ((1, 5))', 'Step3: ((3, 4),7)7', 'Step4: (9)9', 'Step5: (8)8', 'Step6: (10)10']",4,0
79101112,5,"['Step1: ((1, 8),(2, 7),(3, 6),(4, 5),9)(4, 5)', 'Step2: ((1, 8),(2, 7),(3, 6),9)(1, 8)', 'Step3: (2)2', 'Step4: ((3, 6),9)(3, 6)']",2,0
51012,7,"['Step1: ((1, 8),(2, 7),(3, 6),(4, 5),9)(1, 8)', 'Step2: ((2, 9),(4, 7),(5, 6),11)11', 'Step3: ((2, 4),6)6', 'Step4: ((2, 4))', 'Step5: (9)9', 'Step6: ((3, 7),10)(3, 7)']",5,0
5691112,7,"['Step1: (2)2', 'Step2: (3)3', 'Step3: (4)4', 'Step4: ((1, 7),8)8', 'Step5: ((1, 7))', 'Step6: (10)10']",3,0
347101112,5,"['Step1: ((1, 8),(2, 7),(3, 6),(4, 5),9)(1, 8)', 'Step2: ((2, 5),(3, 4),7)(2, 5)', 'Step3: (6)6', 'Step4: (9)9']",1,0
2571012,6,"['Step1: ((1, 11),(2, 10),(3, 9),(4, 8),(5, 7),12)(3, 9)', 'Step2: ((1, 6),(2, 5),7)(1, 6)', 'Step3: (8)8', 'Step4: ((4, 7),11)11', 'Step5: (4)4']",3,0
56101112,6,"['Step1: ((1, 7),(2, 6),(3, 5),8)(1, 7)', 'Step2: ((3, 6),(4, 5),9)9', 'Step3: (4)4', 'Step4: ((2, 3),5)(2, 3)', 'Step5: (8)8']",2,0
9101112,6,"['Step1: ((1, 6),(2, 5),(3, 4),7)(3, 4)', 'Step2: ((1, 6),(2, 5),7)(2, 5)', 'Step3: ((1, 7),8)(1, 7)', 'Step4: (8)8', 'Step5: (6)6']",3,0
5891011,6,"['Step1: ((1, 5),(2, 4),6)(2, 4)', 'Step2: ((1, 7),(3, 5),8)(1, 7)', 'Step3: (3)3', 'Step4: (6)6', 'Step5: (12)12']",3,0
579101112,4,"['Step1: ((1, 8),(2, 7),(3, 6),(4, 5),9)(1, 8)', 'Step2: ((2, 4),6)(2, 4)', 'Step3: ((3, 6),9)(3, 6)']",1,0
51112,9,"['Step1: (2)2', 'Step2: ((1, 9),(3, 7),(4, 6),10)10', 'Step3: ((1, 5),6)6', 'Step4: (3)3', 'Step5: ((1, 9))', 'Step6: (7)7', 'Step7: (4)4', 'Step8: (8)8']",5,0
3491112,6,"['Step1: ((1, 6),(2, 5),(3, 4),7)(2, 5)', 'Step2: ((1, 8),(3, 6),9)(1, 8)', 'Step3: ((3, 7),(4, 6),10)10', 'Step4: ((3, 4),7)7', 'Step5: (6)6']",3,0
8101112,7,"['Step1: ((1, 8),(2, 7),(3, 6),(4, 5),9)(2, 7)', 'Step2: (3)3', 'Step3: ((1, 4),5)(1, 4)', 'Step4: (6)6', 'Step5: (5)5', 'Step6: (9)9']",3,0
479101112,4,"['Step1: ((1, 10),(2, 9),(3, 8),(4, 7),(5, 6),11)(3, 8)', 'Step2: ((1, 5),(2, 4),6)(1, 5)', 'Step3: ((2, 6))']",1,0
1789101112,5,"['Step1: ((1, 5),(2, 4),6)(2, 4)', 'Step2: (5)5', 'Step3: (6)6', 'Step4: (3)3']",1,0
569101112,4,"['Step1: ((1, 8),(2, 7),(3, 6),(4, 5),9)(2, 7)', 'Step2: ((1, 8),(3, 6),(4, 5),9)(1, 8)', 'Step3: ((3, 4))']",1,0
459101112,4,"['Step1: ((1, 7),(2, 6),(3, 5),8)(2, 6)', 'Step2: ((1, 10),(3, 8),(4, 7),11)(3, 8)', 'Step3: ((1, 7))']",1,0
459101112,4,"['Step1: ((1, 8),(2, 7),(3, 6),(4, 5),9)(1, 8)', 'Step2: ((3, 7),(4, 6),10)(3, 7)', 'Step3: ((2, 6))']",1,0
267891011,4,"['Step1: ((1, 7),(2, 6),(3, 5),8)(3, 5)', 'Step2: ((1, 4))', 'Step3: ((2, 10),12)12']",1,0
13789101112,3,"['Step1: ((1, 6),(2, 5),(3, 4),7)(2, 5)', 'Step2: ((1, 9),(3, 7),(4, 6),10)(4, 6)']",1,0
13589101112,3,"['Step1: ((1, 9),(2, 8),(3, 7),(4, 6),10)(4, 6)', 'Step2: ((1, 8),(2, 7),9)(2, 7)']",1,0
6811,7,"['Step1: ((1, 9),(2, 8),(3, 7),(4, 6),10)(1, 9)', 'Step2: ((2, 4),6)(2, 4)', 'Step3: (3)3', 'Step4: ((5, 7),12)(5, 7)', 'Step5: (12)12', 'Step6: (10)10']",6,0
1249101112,4,"['Step1: ((1, 11),(2, 10),(3, 9),(4, 8),(5, 7),12)(5, 7)', 'Step2: ((2, 6),8)8', 'Step3: ((3, 6),9)(3, 6)']",1,0
35689101112,4,"['Step1: (2)2', 'Step2: ((1, 4),5)(1, 4)', 'Step3: (7)7']",1,0
35689101112,3,"['Step1: ((1, 8),(2, 7),(3, 6),(4, 5),9)(2, 7)', 'Step2: ((1, 4),5)(1, 4)']",1,0
19101112,5,"['Step1: ((1, 10),(2, 9),(3, 8),(4, 7),(5, 6),11)(4, 7)', 'Step2: ((1, 9),(2, 8),10)(2, 8)', 'Step3: ((3, 6),9)(3, 6)', 'Step4: (5)5']",2,0
358101112,5,"['Step1: ((1, 5),(2, 4),6)6', 'Step2: ((1, 4),(2, 3),5)(1, 4)', 'Step3: ((2, 7),9)9', 'Step4: ((2, 7))']",1,0
1112,8,"['Step1: ((1, 2),3)3', 'Step2: ((1, 7),(2, 6),8)(1, 7)', 'Step3: ((2, 8),(4, 6),10)10', 'Step4: ((2, 9),(5, 6),11)(2, 9)', 'Step5: (8)8', 'Step6: (5)5', 'Step7: ((4, 6))']",6,0
79101112,5,"['Step1: ((1, 4),(2, 3),5)(1, 4)', 'Step2: ((2, 9),(3, 8),(5, 6),11)(5, 6)', 'Step3: (8)8', 'Step4: ((2, 3))']",2,0
891012,6,"['Step1: ((1, 6),(2, 5),(3, 4),7)(3, 4)', 'Step2: ((1, 6),(2, 5),7)(2, 5)', 'Step3: ((1, 6),7)(1, 6)', 'Step4: (7)7', 'Step5: (11)11']",4,0
79101112,6,"['Step1: ((1, 2),3)(1, 2)', 'Step2: (4)4', 'Step3: (5)5', 'Step4: ((3, 6),9)(3, 6)', 'Step5: (8)8']",2,0
14101112,7,"['Step1: ((1, 6),(2, 5),(3, 4),7)(2, 5)', 'Step2: (3)3', 'Step3: ((1, 6),7)7', 'Step4: (8)8', 'Step5: (6)6', 'Step6: (9)9']",2,0
5691011,6,"['Step1: ((1, 9),(2, 8),(3, 7),(4, 6),10)(2, 8)', 'Step2: ((1, 11),(3, 9),(5, 7),12)12', 'Step3: ((1, 3),4)4', 'Step4: ((1, 3))', 'Step5: (7)7']",3,0
12679101112,4,"['Step1: ((1, 7),(2, 6),(3, 5),8)8', 'Step2: ((1, 7),(2, 6),(3, 5))(3, 5)', 'Step3: (4)4']",1,0
4581012,6,"['Step1: ((1, 7),(2, 6),(3, 5),8)(1, 7)', 'Step2: ((2, 3),5)(2, 3)', 'Step3: (6)6', 'Step4: ((4, 5),9)9', 'Step5: (11)11']",3,0
2789101112,4,"['Step1: ((1, 5),(2, 4),6)(1, 5)', 'Step2: ((2, 4),6)6', 'Step3: ((3, 4),7)(3, 4)']",1,0
3479101112,4,"['Step1: ((1, 8),(2, 7),(3, 6),(4, 5),9)(1, 8)', 'Step2: ((2, 9),(4, 7),(5, 6),11)(5, 6)', 'Step3: (2)2']",1,0
47101112,6,"['Step1: ((1, 2),3)(1, 2)', 'Step2: ((3, 6),(4, 5),9)9', 'Step3: ((3, 6),(4, 5))(3, 6)', 'Step4: (5)5', 'Step5: (8)8']",2,0
491112,6,"['Step1: ((1, 9),(2, 8),(3, 7),(4, 6),10)(3, 7)', 'Step2: ((2, 6),8)8', 'Step3: ((2, 6))', 'Step4: ((1, 9),10)10', 'Step5: ((1, 5))']",4,0
9101112,6,"['Step1: ((1, 6),(2, 5),(3, 4),7)(2, 5)', 'Step2: ((1, 4))', 'Step3: (6)6', 'Step4: (7)7', 'Step5: ((3, 8),11)(3, 8)']",3,0
1279101112,5,"['Step1: ((1, 6),(2, 5),(3, 4),7)(3, 4)', 'Step2: (5)5', 'Step3: ((1, 7),(2, 6),8)8', 'Step4: (6)6']",1,0
39101112,5,"['Step1: ((1, 6),(2, 5),(3, 4),7)(2, 5)', 'Step2: ((1, 7),8)(1, 7)', 'Step3: (8)8', 'Step4: ((4, 6),10)(4, 6)']",2,0
369101112,4,"['Step1: ((1, 10),(2, 9),(3, 8),(4, 7),(5, 6),11)(4, 7)', 'Step2: ((1, 8),(3, 6),9)(1, 8)', 'Step3: ((2, 5))']",1,0
567101112,6,"['Step1: ((1, 7),(2, 6),(3, 5),8)8', 'Step2: ((1, 3),4)4', 'Step3: (2)2', 'Step4: ((1, 3))', 'Step5: (9)9']",1,0
