Remainder,Steps,Decision_Tree,Score,Success
138910,8,"['Step1: (2,3,5) (5)', 'Step2: (3,4,7) (7)', 'Step3: (2,3) (2)', 'Step4: (6) (6)', 'Step5: (12) (12)', 'Step6: (4,1) (4)', 'Step7: (11) (11)']",4,FALSE
3478912,6,"['Step1: (6,1,7) (6,1)', 'Step2: (10) (10)', 'Step3: (2,3,5) (5)', 'Step4: (2) (2)', 'Step5: (11) (11)']",3,FALSE
123457812,5,"['Step1: (5,4,9) (9)', 'Step2: (5,6,11) (11)', 'Step3: (6) (6)', 'Step4: (10) (10)']",1,FALSE
234789101112,3,"['Step1: (1,5,6) (1,5)', 'Step2: (6) (6)']",1,FALSE
12491012,6,"['Step1: (3,5,8) (3,5)', 'Step2: (11) (11)', 'Step3: (7) (7)', 'Step4: (8) (8)', 'Step5: (6,2) (6)']",2,FALSE
2689101112,4,"['Step1: (3,1,4) (3,1)', 'Step2: (5,4,9) (5,4)', 'Step3: (7) (7)']",1,FALSE
1381012,7,"['Step1: (1,5,6) (6)', 'Step2: (11) (11)', 'Step3: (9) (9)', 'Step4: (7) (7)', 'Step5: (5,4) (5)', 'Step6: (2,4) (2,4)']",3,FALSE
2348101112,5,"['Step1: (1,4,5) (5)', 'Step2: (7) (7)', 'Step3: (6,1) (6,1)', 'Step4: (9) (9)']",1,FALSE
14591012,6,"['Step1: (6,1,7) (7)', 'Step2: (2) (2)', 'Step3: (3,6,9) (3,6)', 'Step4: (8) (8)', 'Step5: (11) (11)']",2,FALSE
12678101112,4,"['Step1: (3,4,7) (3,4)', 'Step2: (9) (9)', 'Step3: (5) (5)']",1,FALSE
157891112,4,"['Step1: (10) (10)', 'Step2: (2,3,5) (2,3)', 'Step3: (4,6) (4,6)']",1,FALSE
13891112,6,"['Step1: (5,1,6) (6)', 'Step2: (2,5,7) (2,5)', 'Step3: (4) (4)', 'Step4: (7) (7)', 'Step5: (10) (10)']",2,FALSE
24567891012,3,"['Step1: (3,1,4) (3,1)', 'Step2: (6,5,11) (11)']",1,FALSE
124510,7,"['Step1: (8) (8)', 'Step2: (5,6,11) (11)', 'Step3: (3,6,9) (3,6)', 'Step4: (9) (9)', 'Step5: (12) (12)', 'Step6: (7) (7)']",4,FALSE
15678101112,5,"['Step1: (2,1,3) (3)', 'Step2: (4,5,9) (9)', 'Step3: (2) (2)', 'Step4: (4) (4)']",1,FALSE
45812,8,"['Step1: (1,3,4) (1,3)', 'Step2: (10) (10)', 'Step3: (4,5,9) (9)', 'Step4: (6,5,11) (11)', 'Step5: (5,2,7) (7)', 'Step6: (2) (2)', 'Step7: (6) (6)']",5,FALSE
