Remainder,Steps,Decision_Tree,Score,Num_Of_Choices_Made
346789101112,3,"['Step1: [(1, 2),3] (1, 2)', 'Step2: [5] 5']",1,0
57101112,6,"['Step1: [(1, 4),(2, 3),5] (2, 3)', 'Step2: [(1, 5),6] 6', 'Step3: [(1, 9),10] (1, 9)', 'Step4: [8] 8', 'Step5: [4] 4']",2,0
379101112,5,"['Step1: [(1, 3),4] 4', 'Step2: [(1, 9),(2, 8),(3, 7),10] (2, 8)', 'Step3: [(1, 5),6] (1, 5)', 'Step4: [6] 6']",1,0
579101112,5,"['Step1: [(1, 6),(2, 5),(3, 4),7] (1, 6)', 'Step2: [2] 2', 'Step3: [(3, 4),7] (3, 4)', 'Step4: [8] 8']",1,0
47101112,6,"['Step1: [(1, 5),(2, 4),6] (1, 5)', 'Step2: [(2, 3)]', 'Step3: [6] 6', 'Step4: [9] 9', 'Step5: [8] 8']",2,0
789101112,5,"['Step1: [(1, 3),4] 4', 'Step2: [(2, 3),5] (2, 3)', 'Step3: [5] 5', 'Step4: [(1, 6),7] (1, 6)']",1,0
381112,7,"['Step1: [(1, 3),4] 4', 'Step2: [(1, 6),(2, 5),7] (1, 6)', 'Step3: [(2, 5),7] 7', 'Step4: [(2, 8),10] 10', 'Step5: [(2, 5)]', 'Step6: [9] 9']",4,0
81012,7,"['Step1: [(1, 8),(2, 7),(3, 6),(4, 5),9] 9', 'Step2: [(2, 8),(3, 7),(4, 6),10] (3, 7)', 'Step3: [(1, 5),(2, 4),6] 6', 'Step4: [(1, 5),(2, 4)] (2, 4)', 'Step5: [(1, 5)]', 'Step6: [11] 11']",5,0
46789101112,3,"['Step1: [(1, 7),(2, 6),(3, 5),8] (3, 5)', 'Step2: [(1, 2)]']",1,0
468912,5,"['Step1: [(1, 10),(2, 9),(3, 8),(4, 7),(5, 6),11] (1, 10)', 'Step2: [(2, 5),(3, 4),7] (2, 5)', 'Step3: [(3, 7),(4, 6)] (3, 7)', 'Step4: [11] 11']",4,0
