Remainder,Steps,Decision_Tree,Score,Num_Of_Choices_Made
459101112,4,"['Step1: [(1, 6),(2, 5),(3, 4),7] (1, 6)', 'Step2: [(2, 9),(3, 8),(4, 7),11] (3, 8)', 'Step3: [(2, 7),(4, 5),9] (2, 7)']",1,3
3478101112,4,"['Step1: [(1, 4),(2, 3),5] 5', 'Step2: [(1, 7),(2, 6),8] (2, 6)', 'Step3: [(1, 9),(3, 7),10] (1, 9)']",1,3
491112,6,"['Step1: [(1, 9),(2, 8),(3, 7),(4, 6),10] 10', 'Step2: [(1, 6),(2, 5),(3, 4),7] (2, 5)', 'Step3: [(1, 8),(3, 6),9] (3, 6)', 'Step4: [7] 7', 'Step5: [(1, 8),9] (1, 8)']",4,4
245689101112,3,"['Step1: [(1, 7),(2, 6),(3, 5),8] (1, 7)', 'Step2: [3] 3']",1,1
34791012,5,"['Step1: [(1, 6),(2, 5),(3, 4),7] (2, 5)', 'Step2: [(1, 6),(3, 4),7] (1, 6)', 'Step3: [8] 8', 'Step4: [(4, 7),11] 11']",2,3
6789101112,4,"['Step1: [(1, 2),3] (1, 2)', 'Step2: [4] 4', 'Step3: [(3, 5),8] (3, 5)']",1,2
34579101112,4,"['Step1: [(1, 6),(2, 5),(3, 4),7] (1, 6)', 'Step2: [2] 2', 'Step3: [(3, 5),8] 8']",1,2
679101112,5,"['Step1: [(1, 7),(2, 6),(3, 5),8] 8', 'Step2: [(1, 5),(2, 4),6] (1, 5)', 'Step3: [3] 3', 'Step4: [(2, 4),6] (2, 4)']",1,3
279101112,5,"['Step1: [(1, 4),(2, 3),5] (1, 4)', 'Step2: [6] 6', 'Step3: [(3, 5),8] (3, 5)', 'Step4: [8] 8']",1,2
23689101112,3,"['Step1: [(1, 8),(2, 7),(3, 6),(4, 5),9] (4, 5)', 'Step2: [(1, 7),(2, 6),8] (1, 7)']",1,2
2591112,6,"['Step1: [(1, 6),(2, 5),(3, 4),7] (3, 4)', 'Step2: [(1, 7),(2, 6),8] (1, 7)', 'Step3: [6] 6', 'Step4: [8] 8', 'Step5: [10] 10']",3,2
29101112,6,"['Step1: [(1, 4),(2, 3),5] 5', 'Step2: [(1, 6),(3, 4),7] 7', 'Step3: [(1, 6),(3, 4)] (3, 4)', 'Step4: [(1, 6)]', 'Step5: [8] 8']",2,3
2689101112,4,"['Step1: [(1, 7),(2, 6),(3, 5),8] (1, 7)', 'Step2: [(2, 3),5] 5', 'Step3: [(3, 4)]']",1,2
35691112,5,"['Step1: [(1, 8),(2, 7),(3, 6),(4, 5),9] (1, 8)', 'Step2: [(2, 4),6] (2, 4)', 'Step3: [7] 7', 'Step4: [10] 10']",2,2
461112,6,"['Step1: [(1, 6),(2, 5),(3, 4),7] 7', 'Step2: [(1, 8),(3, 6),(4, 5),9] 9', 'Step3: [(2, 8),(4, 6),10] (2, 8)', 'Step4: [(3, 5)]', 'Step5: [(1, 10),11] (1, 10)']",4,4
35911,7,"['Step1: [(1, 2),3] (1, 2)', 'Step2: [6] 6', 'Step3: [(3, 7),10] 10', 'Step4: [(3, 4),7] 7', 'Step5: [(3, 9),(4, 8),12] (4, 8)', 'Step6: [(3, 9),12] 12']",5,5
6891112,5,"['Step1: [(1, 5),(2, 4),6] (1, 5)', 'Step2: [3] 3', 'Step3: [(2, 9),(4, 7),11] (4, 7)', 'Step4: [(2, 10),12] (2, 10)']",3,3
7891012,6,"['Step1: [(1, 3),4] 4', 'Step2: [(1, 10),(2, 9),(3, 8),(5, 6),11] 11', 'Step3: [(1, 2),3] 3', 'Step4: [(1, 7),(2, 6),8] (2, 6)', 'Step5: [(1, 5)]']",3,4
45789101112,3,"['Step1: [(1, 3),4] (1, 3)', 'Step2: [(2, 6),8] (2, 6)']",1,2
179101112,5,"['Step1: [(1, 7),(2, 6),(3, 5),8] 8', 'Step2: [(1, 5),(2, 4),6] (2, 4)', 'Step3: [3] 3', 'Step4: [(1, 10),(5, 6),11] (5, 6)']",1,3
1012,9,"['Step1: [(1, 6),(2, 5),(3, 4),7] (1, 6)', 'Step2: [(2, 4)]', 'Step3: [3] 3', 'Step4: [11] 11', 'Step5: [9] 9', 'Step6: [7] 7', 'Step7: [5] 5', 'Step8: [8] 8']",6,1
17101112,7,"['Step1: [(1, 2),3] 3', 'Step2: [(1, 6),(2, 5),7] (2, 5)', 'Step3: [4] 4', 'Step4: [6] 6', 'Step5: [(1, 8),9] 9', 'Step6: [(1, 7),8] 8']",2,4
156912,7,"['Step1: [(1, 6),(2, 5),(3, 4),7] 7', 'Step2: [(1, 4),(2, 3),5] (2, 3)', 'Step3: [(1, 9),(4, 6),10] 10', 'Step4: [(5, 6),11] 11', 'Step5: [4] 4', 'Step6: [8] 8']",4,4
124891112,5,"['Step1: [(1, 7),(2, 6),(3, 5),8] (3, 5)', 'Step2: [(2, 4),6] 6', 'Step3: [7] 7', 'Step4: [(1, 9),(2, 8),10] 10']",1,3
3451112,6,"['Step1: [(1, 5),(2, 4),6] 6', 'Step2: [(1, 7),(3, 5),8] (1, 7)', 'Step3: [(4, 5),9] 9', 'Step4: [(2, 8),10] (2, 8)', 'Step5: [10] 10']",3,4
101112,8,"['Step1: [(1, 5),(2, 4),6] 6', 'Step2: [(1, 3),4] 4', 'Step3: [(2, 3),5] (2, 3)', 'Step4: [(1, 5)]', 'Step5: [9] 9', 'Step6: [8] 8', 'Step7: [7] 7']",4,3
912,8,"['Step1: [(1, 3),4] (1, 3)', 'Step2: [(2, 7),(4, 5),9] (4, 5)', 'Step3: [6] 6', 'Step4: [(2, 9),11] 11', 'Step5: [(2, 10),12] (2, 10)', 'Step6: [7] 7', 'Step7: [8] 8']",7,4
457891112,4,"['Step1: [(1, 6),(2, 5),(3, 4),7] (1, 6)', 'Step2: [(2, 3),5] (2, 3)', 'Step3: [10] 10']",1,2
348101112,6,"['Step1: [(1, 6),(2, 5),(3, 4),7] 7', 'Step2: [2] 2', 'Step3: [(1, 5),6] 6', 'Step4: [(1, 9),10] (1, 9)', 'Step5: [5] 5']",1,3
289101112,5,"['Step1: [(1, 7),(2, 6),(3, 5),8] (3, 5)', 'Step2: [(1, 6),7] 7', 'Step3: [4] 4', 'Step4: [(1, 6)]']",1,2
3571112,6,"['Step1: [(1, 8),(2, 7),(3, 6),(4, 5),9] (1, 8)', 'Step2: [(2, 4),6] (2, 4)', 'Step3: [(3, 7),10] 10', 'Step4: [(3, 6),9] 9', 'Step5: [6] 6']",3,4
589101112,4,"['Step1: [(1, 6),(2, 5),(3, 4),7] (1, 6)', 'Step2: [(2, 7),(4, 5),9] (2, 7)', 'Step3: [(3, 4)]']",1,2
101112,8,"['Step1: [(1, 3),4] 4', 'Step2: [(1, 2),3] 3', 'Step3: [5] 5', 'Step4: [(1, 8),(2, 7),9] (1, 8)', 'Step5: [6] 6', 'Step6: [(2, 7),9] (2, 7)', 'Step7: [9] 9']",4,4
3467891112,4,"['Step1: [(1, 2),3] (1, 2)', 'Step2: [(3, 7),(4, 6),10] 10', 'Step3: [5] 5']",1,2
45101112,5,"['Step1: [(1, 7),(2, 6),(3, 5),8] (1, 7)', 'Step2: [(2, 8),(4, 6),10] (2, 8)', 'Step3: [(3, 6),(4, 5),9] 9', 'Step4: [(3, 6),(4, 5)] (3, 6)']",2,4
25789101112,4,"['Step1: [(1, 4),(2, 3),5] (1, 4)', 'Step2: [6] 6', 'Step3: [3] 3']",1,1
25691112,6,"['Step1: [(1, 3),4] 4', 'Step2: [(1, 9),(2, 8),(3, 7),10] 10', 'Step3: [(1, 3)]', 'Step4: [(2, 5),7] 7', 'Step5: [(2, 6),8] 8']",2,4
1011,9,"['Step1: [(1, 6),(2, 5),(3, 4),7] 7', 'Step2: [(1, 11),(2, 10),(3, 9),(4, 8),12] 12', 'Step3: [(1, 5),(2, 4),6] (2, 4)', 'Step4: [(1, 3)]', 'Step5: [6] 6', 'Step6: [8] 8', 'Step7: [9] 9', 'Step8: [5] 5']",6,3
491112,7,"['Step1: [(1, 8),(2, 7),(3, 6),(4, 5),9] (1, 8)', 'Step2: [(2, 4),6] 6', 'Step3: [(2, 3),5] 5', 'Step4: [(2, 3)]', 'Step5: [7] 7', 'Step6: [10] 10']",4,3
369101112,5,"['Step1: [(1, 3),4] 4', 'Step2: [(1, 8),(2, 7),(3, 6),9] (2, 7)', 'Step3: [(1, 5),6] (1, 5)', 'Step4: [8] 8']",1,3
81112,7,"['Step1: [(1, 4),(2, 3),5] (2, 3)', 'Step2: [(1, 6),7] (1, 6)', 'Step3: [(4, 5),9] 9', 'Step4: [4] 4', 'Step5: [(5, 7),12] (5, 7)', 'Step6: [10] 10']",5,4
379101112,4,"['Step1: [(1, 10),(2, 9),(3, 8),(4, 7),(5, 6),11] (5, 6)', 'Step2: [(1, 11),(2, 10),(3, 9),(4, 8),12] (4, 8)', 'Step3: [(1, 2),3] (1, 2)']",1,3
26789101112,4,"['Step1: [(1, 3),4] 4', 'Step2: [(1, 5),6] (1, 5)', 'Step3: [3] 3']",1,2
2469101112,4,"['Step1: [(1, 8),(2, 7),(3, 6),(4, 5),9] (1, 8)', 'Step2: [(2, 6),(3, 5)] (3, 5)', 'Step3: [7] 7']",1,2
241012,6,"['Step1: [(1, 11),(2, 10),(3, 9),(4, 8),(5, 7),12] (3, 9)', 'Step2: [(1, 6),(2, 5),7] (1, 6)', 'Step3: [8] 8', 'Step4: [(2, 10),(5, 7),12] (5, 7)', 'Step5: [11] 11']",4,3
2678101112,4,"['Step1: [(1, 5),(2, 4),6] (1, 5)', 'Step2: [(2, 7),(3, 6),9] 9', 'Step3: [(3, 4),7] (3, 4)']",1,3
359101112,5,"['Step1: [(1, 8),(2, 7),(3, 6),(4, 5),9] (2, 7)', 'Step2: [(1, 6),(3, 4)] (1, 6)', 'Step3: [(3, 5),8] 8', 'Step4: [4] 4']",1,3
14678101112,3,"['Step1: [(1, 10),(2, 9),(3, 8),(4, 7),(5, 6),11] (2, 9)', 'Step2: [(1, 7),(3, 5),8] (3, 5)']",1,2
2479101112,4,"['Step1: [(1, 10),(2, 9),(3, 8),(4, 7),(5, 6),11] (3, 8)', 'Step2: [(1, 6),(2, 5),7] (1, 6)', 'Step3: [5] 5']",1,2
46101112,5,"['Step1: [(1, 11),(2, 10),(3, 9),(4, 8),(5, 7),12] (3, 9)', 'Step2: [(1, 8),(2, 7),(4, 5)] (2, 7)', 'Step3: [8] 8', 'Step4: [(1, 5),6] (1, 5)']",2,3
21012,7,"['Step1: [(1, 8),(2, 7),(3, 6),(4, 5),9] 9', 'Step2: [(2, 8),(3, 7),(4, 6),10] (4, 6)', 'Step3: [(1, 7),(3, 5),8] (1, 7)', 'Step4: [(3, 5),8] (3, 5)', 'Step5: [8] 8', 'Step6: [11] 11']",5,4
345789101112,3,"['Step1: [(1, 5),(2, 4),6] 6', 'Step2: [(1, 2),3] (1, 2)']",1,2
812,8,"['Step1: [(1, 8),(2, 7),(3, 6),(4, 5),9] (4, 5)', 'Step2: [(1, 6),7] 7', 'Step3: [(1, 6)]', 'Step4: [(2, 3)]', 'Step5: [10] 10', 'Step6: [11] 11', 'Step7: [9] 9']",7,2
4578101112,4,"['Step1: [(1, 6),(2, 5),(3, 4),7] (1, 6)', 'Step2: [(2, 7),(4, 5),9] 9', 'Step3: [(2, 3),5] (2, 3)']",1,3
4781112,5,"['Step1: [(1, 8),(2, 7),(3, 6),(4, 5),9] (3, 6)', 'Step2: [(1, 9),(2, 8),10] 10', 'Step3: [(1, 9),(2, 8)] (1, 9)', 'Step4: [(2, 5),7] (2, 5)']",3,4
891112,7,"['Step1: [(1, 3),4] 4', 'Step2: [(1, 9),(2, 8),(3, 7),10] 10', 'Step3: [(2, 3),5] 5', 'Step4: [(2, 3)]', 'Step5: [(1, 6),7] (1, 6)', 'Step6: [7] 7']",4,4
47101112,5,"['Step1: [(1, 5),(2, 4),6] 6', 'Step2: [(1, 8),(2, 7),(4, 5),9] (1, 8)', 'Step3: [(3, 5)]', 'Step4: [(2, 9),(4, 7),11] (2, 9)']",2,3
36791011,5,"['Step1: [(1, 5),(2, 4),6] (2, 4)', 'Step2: [(1, 5),6] (1, 5)', 'Step3: [8] 8', 'Step4: [(3, 9),12] 12']",2,3
3479101112,5,"['Step1: [(1, 8),(2, 7),(3, 6),(4, 5),9] (1, 8)', 'Step2: [(2, 4),6] 6', 'Step3: [2] 2', 'Step4: [5] 5']",1,2
367101112,5,"['Step1: [(1, 8),(2, 7),(3, 6),(4, 5),9] (1, 8)', 'Step2: [(2, 7),(3, 6),(4, 5),9] 9', 'Step3: [(2, 5),(3, 4),7] (2, 5)', 'Step4: [4] 4']",1,3
35611,7,"['Step1: [(1, 8),(2, 7),(3, 6),(4, 5),9] 9', 'Step2: [(1, 11),(2, 10),(4, 8),(5, 7),12] 12', 'Step3: [(1, 7),(2, 6),(3, 5),8] 8', 'Step4: [(1, 4),(2, 3),5] (1, 4)', 'Step5: [(2, 7),(3, 6)] (2, 7)', 'Step6: [10] 10']",5,5
2479101112,4,"['Step1: [(1, 5),(2, 4),6] (1, 5)', 'Step2: [(2, 7),(3, 6),9] (3, 6)', 'Step3: [8] 8']",1,2
13589101112,4,"['Step1: [(1, 9),(2, 8),(3, 7),(4, 6),10] (4, 6)', 'Step2: [(2, 5),7] 7', 'Step3: [2] 2']",1,2
14589101112,3,"['Step1: [(1, 8),(2, 7),(3, 6),(4, 5),9] (2, 7)', 'Step2: [(1, 8),(3, 6),(4, 5),9] (3, 6)']",1,2
1689101112,4,"['Step1: [(1, 5),(2, 4),6] (2, 4)', 'Step2: [(1, 6),7] 7', 'Step3: [(3, 5),8] (3, 5)']",1,3
2101112,7,"['Step1: [(1, 9),(2, 8),(3, 7),(4, 6),10] (1, 9)', 'Step2: [(2, 5),(3, 4),7] 7', 'Step3: [(3, 8),(5, 6),11] (5, 6)', 'Step4: [4] 4', 'Step5: [3] 3', 'Step6: [8] 8']",3,3
468101112,5,"['Step1: [(1, 5),(2, 4),6] (1, 5)', 'Step2: [(3, 4),7] 7', 'Step3: [3] 3', 'Step4: [(2, 9),11] (2, 9)']",1,3
179101112,5,"['Step1: [(1, 10),(2, 9),(3, 8),(4, 7),(5, 6),11] (5, 6)', 'Step2: [(1, 2),3] 3', 'Step3: [4] 4', 'Step4: [(1, 9),(2, 8),10] (2, 8)']",1,3
3912,8,"['Step1: [(1, 6),(2, 5),(3, 4),7] (1, 6)', 'Step2: [(2, 5),(3, 4),7] (2, 5)', 'Step3: [8] 8', 'Step4: [4] 4', 'Step5: [11] 11', 'Step6: [7] 7', 'Step7: [10] 10']",6,2
89101112,5,"['Step1: [(1, 3),4] (1, 3)', 'Step2: [(2, 8),(4, 6),10] (4, 6)', 'Step3: [(2, 5),7] 7', 'Step4: [(2, 5)]']",2,3
1489101112,4,"['Step1: [(1, 7),(2, 6),(3, 5),8] (3, 5)', 'Step2: [(1, 7),(2, 6),8] (2, 6)', 'Step3: [7] 7']",1,2
1345789101112,2,"['Step1: [(1, 7),(2, 6),(3, 5),8] (2, 6)']",1,1
34678101112,3,"['Step1: [(1, 9),(2, 8),(3, 7),(4, 6),10] (1, 9)', 'Step2: [(2, 5),(3, 4),7] (2, 5)']",1,2
4891012,7,"['Step1: [(1, 3),4] (1, 3)', 'Step2: [2] 2', 'Step3: [6] 6', 'Step4: [7] 7', 'Step5: [5] 5', 'Step6: [11] 11']",3,1
34781112,5,"['Step1: [(1, 11),(2, 10),(3, 9),(4, 8),(5, 7),12] (2, 10)', 'Step2: [(1, 5),6] (1, 5)', 'Step3: [6] 6', 'Step4: [9] 9']",2,2
14578101112,4,"['Step1: [(1, 7),(2, 6),(3, 5),8] (2, 6)', 'Step2: [3] 3', 'Step3: [(1, 8),(4, 5),9] 9']",1,2
24789101112,4,"['Step1: [(1, 5),(2, 4),6] (1, 5)', 'Step2: [(2, 4),6] 6', 'Step3: [3] 3']",1,2
45679101112,3,"['Step1: [(1, 3),4] (1, 3)', 'Step2: [(2, 8),(4, 6),10] (2, 8)']",1,2
1289101112,5,"['Step1: [(1, 6),(2, 5),(3, 4),7] (3, 4)', 'Step2: [(1, 5),6] 6', 'Step3: [(2, 5),7] 7', 'Step4: [5] 5']",1,3
4689101112,4,"['Step1: [(1, 7),(2, 6),(3, 5),8] (1, 7)', 'Step2: [3] 3', 'Step3: [(2, 5)]']",1,1
245689101112,3,"['Step1: [(1, 2),3] 3', 'Step2: [(1, 7),(2, 6),8] (1, 7)']",1,2
37101112,5,"['Step1: [(1, 8),(2, 7),(3, 6),(4, 5),9] (4, 5)', 'Step2: [(1, 7),(2, 6),8] (2, 6)', 'Step3: [(1, 8),9] (1, 8)', 'Step4: [9] 9']",2,3
126789101112,3,"['Step1: [(1, 6),(2, 5),(3, 4),7] (3, 4)', 'Step2: [5] 5']",1,1
