Remainder,Steps,Decision_Tree,Score,Success
31112,9,"['Step1: (6) (6)', 'Step2: (9) (9)', 'Step3: (10) (10)', 'Step4: (2,5,7) (7)', 'Step5: (8) (8)', 'Step6: (2) (2)', 'Step7: (5,4) (5,4)', 'Step8: (1,3) (1)']",5,FALSE
3689101112,4,"['Step1: (1,5,6) (1,5)', 'Step2: (2,4,6) (2,4)', 'Step3: (7) (7)']",1,FALSE
123671112,6,"['Step1: (6,3,9) (9)', 'Step2: (4) (4)', 'Step3: (6,2,8) (8)', 'Step4: (10) (10)', 'Step5: (2,3,5) (5)']",1,FALSE
123489101112,4,"['Step1: (2,4,6) (6)', 'Step2: (5,1) (5)', 'Step3: (7) (7)']",1,FALSE
13579101112,4,"['Step1: (6) (6)', 'Step2: (4,2) (4,2)', 'Step3: (8) (8)']",1,FALSE
134589101112,4,"['Step1: (2) (2)', 'Step2: (1,6,7) (7)', 'Step3: (6,1) (6)']",1,FALSE
249101112,5,"['Step1: (6,3,9) (6,3)', 'Step2: (7) (7)', 'Step3: (1,5) (1,5)', 'Step4: (8) (8)']",1,FALSE
24101112,7,"['Step1: (2,3,5) (5)', 'Step2: (4,2,6) (6)', 'Step3: (1,3,4) (1,3)', 'Step4: (9) (9)', 'Step5: (7) (7)', 'Step6: (8) (8)']",2,FALSE
13689101112,4,"['Step1: (4,5,9) (4,5)', 'Step2: (2) (2)', 'Step3: (7) (7)']",1,FALSE
4589101112,5,"['Step1: (6,3,9) (6,3)', 'Step2: (1,2) (1)', 'Step3: (2) (2)', 'Step4: (7) (7)']",1,FALSE
112,10,"['Step1: (3,6,9) (3,6)', 'Step2: (8) (8)', 'Step3: (11) (11)', 'Step4: (5) (5)', 'Step5: (4) (4)', 'Step6: (10) (10)', 'Step7: (2) (2)', 'Step8: (7) (7)', 'Step9: (9) (9)']",7,FALSE
246791112,5,"['Step1: (5,3,8) (8)', 'Step2: (10) (10)', 'Step3: (1,2,3) (3)', 'Step4: (1,5,6) (1,5)']",1,FALSE
25789101112,4,"['Step1: (6,3,9) (6,3)', 'Step2: (1,2) (1)', 'Step3: (4) (4)']",1,FALSE
141112,8,"['Step1: (1,2,3) (3)', 'Step2: (4,6,10) (10)', 'Step3: (8) (8)', 'Step4: (7) (7)', 'Step5: (6,2) (6,2)', 'Step6: (4,1,5) (5)', 'Step7: (9) (9)']",4,FALSE
159101112,5,"['Step1: (3,4,7) (3,4)', 'Step2: (6,1,7) (7)', 'Step3: (2,6,8) (2,6)', 'Step4: (8) (8)']",1,FALSE
23471112,6,"['Step1: (6) (6)', 'Step2: (10) (10)', 'Step3: (5,1) (5,1)', 'Step4: (8) (8)', 'Step5: (9) (9)']",2,FALSE
34589101112,4,"['Step1: (1,2,3) (1,2)', 'Step2: (6) (6)', 'Step3: (7) (7)']",1,FALSE
3101112,8,"['Step1: (2,6,8) (8)', 'Step2: (2,4,6) (6)', 'Step3: (4,5,9) (9)', 'Step4: (1,2,3) (1,2)', 'Step5: (4) (4)', 'Step6: (7) (7)', 'Step7: (5) (5)']",3,FALSE
12345891112,4,"['Step1: (1,6,7) (7)', 'Step2: (10) (10)', 'Step3: (2,4,6) (6)']",1,FALSE
1367101112,5,"['Step1: (2,6,8) (8)', 'Step2: (4,5,9) (4,5)', 'Step3: (2,6) (2)', 'Step4: (9) (9)']",1,FALSE
36891112,6,"['Step1: (2) (2)', 'Step2: (1,4,5) (1,4)', 'Step3: (10) (10)', 'Step4: (5) (5)', 'Step5: (7) (7)']",2,FALSE
1289101112,5,"['Step1: (4,5,9) (4,5)', 'Step2: (6) (6)', 'Step3: (7) (7)', 'Step4: (1,2,3) (3)']",1,FALSE
